,pair,investment_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,scaled_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity,average_annualised_investment_count,success_bucket_pair,diversity_bucket_pair
"73633ee4-ea65-2967-6c5d-9b5fec7d2d5e,19dde276-dbc0-477a-9476-f2ab5e3120a6","73633ee4-ea65-2967-6c5d-9b5fec7d2d5e,19dde276-dbc0-477a-9476-f2ab5e3120a6",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.01569010416666665,0.24188208616780038,0.0487841173054587,53.44444444444446,"L5,L5","Universalist,Diverse"
"ffdfc425-c8da-8a83-32d5-e64d18166bd1,5271de9b-275a-05c5-3d50-e004455a409e","ffdfc425-c8da-8a83-32d5-e64d18166bd1,5271de9b-275a-05c5-3d50-e004455a409e",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.234375,0.08798185941043074,0.2073170731707317,0.16666666666666666,"L5,L4","Specialized,Focused"
"efab3495-78ba-4f09-af84-eb0377bda20c,9815f480-7578-5a7b-4eed-2abdcacc7019","efab3495-78ba-4f09-af84-eb0377bda20c,9815f480-7578-5a7b-4eed-2abdcacc7019",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.001814058956916,0.0034843205574912,0.1111111111111111,"L5,L5","Universalist,Universalist"
"e0135367-203e-658b-688c-5cbcb332a091,1c65ddc2-fdbe-4610-a35d-7db3e8b72bd8","e0135367-203e-658b-688c-5cbcb332a091,1c65ddc2-fdbe-4610-a35d-7db3e8b72bd8",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.12380952380952376,0.14053426248548195,0.38888888888888884,"L5,L5","Universalist,Specialized"
"c40189cd-74f7-6f4a-884b-e8d2e2862d86,bd23a50d-2ae3-be33-2a35-383ea9ed13fd","c40189cd-74f7-6f4a-884b-e8d2e2862d86,bd23a50d-2ae3-be33-2a35-383ea9ed13fd",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.10833333333333331,0.223219954648526,0.1674216027874564,1.277777777777778,"L5,L5","Focused,Focused"
"b3898343-7c45-2039-5c8e-51ea43e8d2da,2229b80d-fd4e-4ef4-8b56-d32615e7b55f","b3898343-7c45-2039-5c8e-51ea43e8d2da,2229b80d-fd4e-4ef4-8b56-d32615e7b55f",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.02604166666666665,0.0504913076341647,0.08188153310104526,0.2777777777777778,"L5,L5","Diverse,Diverse"
"ac992f29-5a4c-d722-72d9-ad3d2dc047d7,4e0e7ca5-3b1a-43f3-846b-98c34bab2fae","ac992f29-5a4c-d722-72d9-ad3d2dc047d7,4e0e7ca5-3b1a-43f3-846b-98c34bab2fae",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.047165532879818506,0.1132404181184669,0.16666666666666666,"L5,L5","Universalist,Focused"
"b9a6792a-c906-e090-3171-2a1ed2c2b663,26de25c4-2bd3-7dbf-c9c9-8ca014783ce0","b9a6792a-c906-e090-3171-2a1ed2c2b663,26de25c4-2bd3-7dbf-c9c9-8ca014783ce0",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.0725623582766439,0.1149825783972125,0.16666666666666666,"L5,L5","Diverse,Balanced"
"16496cb3-1c18-98f1-0eff-3819930827a8,0cc2659b-0483-465c-b767-413a5dfe37ee","16496cb3-1c18-98f1-0eff-3819930827a8,0cc2659b-0483-465c-b767-413a5dfe37ee",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.00818452380952375,0.2845912968361948,0.1968641114982578,1.4999999999999998,"L5,L5","Specialized,Balanced"
"e6bce44c-0129-4e44-9820-3d8e7ca84533,8d24badb-9c87-42a6-8539-6e305a421c6d","e6bce44c-0129-4e44-9820-3d8e7ca84533,8d24badb-9c87-42a6-8539-6e305a421c6d",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.015625,0.2639455782312925,0.2926829268292682,0.4444444444444444,"L5,L5","Specialized,Specialized"
"902deab4-ec41-68ce-d9df-c0c959578176,1dfa9c3e-0120-4936-8efe-6c51ffab1f49","902deab4-ec41-68ce-d9df-c0c959578176,1dfa9c3e-0120-4936-8efe-6c51ffab1f49",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.0316105769230769,0.26288854003139717,0.1735995711605467,2.9444444444444446,"L5,L5","Specialized,Balanced"
"dc7fc343-2884-5489-8127-9e3ed9f88349,27236fa1-5eba-bae0-fc7c-a1e0cdba1132","dc7fc343-2884-5489-8127-9e3ed9f88349,27236fa1-5eba-bae0-fc7c-a1e0cdba1132",1,1.0,1.0,0.0,0.3125,0.15625,0.2727272727272727,0.1625,0.2845170068027211,0.12209059233449475,1.4444444444444444,"L5,L4","Universalist,Focused"
"f1653c02-8228-44c0-9691-cb1ee3aac89b,a1d935af-1d49-55ef-2bf6-cbd1bf82af6d","f1653c02-8228-44c0-9691-cb1ee3aac89b,a1d935af-1d49-55ef-2bf6-cbd1bf82af6d",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.04166666666666665,0.0761904761904761,0.12543554006968635,0.2222222222222222,"L5,L5","Focused,Diverse"
