investor_a,investor_b,total_coinvestments
3cadc521-a362-4e19-adf5-0ae1a3488829,658cbc13-f8d5-a87f-7abe-18a446ba31ec,1
ce8fa2fd-69a7-45b4-88e5-5505583ec636,dc33257a-0c23-b0ca-42db-7277088d3eca,1
85858dd0-59be-4ca3-b1f9-67321b3cc503,9ef2f20f-6a49-4eb9-ba68-99b5bda7a192,1
3dc1eb59-8991-48a4-9aee-78f943339873,90f2ef2b-8426-45fd-ad9d-b675b1dcfb4c,1
c096a145-c835-b762-d921-be9f82d0fb6c,c2e49a9b-11bf-40ca-9ea2-804b957128af,1
3dc1eb59-8991-48a4-9aee-78f943339873,bc3f7055-90d8-4490-9055-7cc28c9d298a,1
08d1593a-49fd-437b-a03d-73c1d8f7755c,c7ca7ab1-a82f-9736-8140-c53ba04b034c,1
4ebe40b2-2503-415b-afa9-a869e2a04848,658cbc13-f8d5-a87f-7abe-18a446ba31ec,1
259ce13c-daa9-4385-a571-dd8f399d468e,c02752b6-9c39-360e-c9a1-f0ed16065049,1
259ce13c-daa9-4385-a571-dd8f399d468e,9b84b3c1-f15b-2739-8a51-63820f4ce7ce,1
53377857-8995-2128-8f85-bfc8c4a2178e,56ce1add-17a4-31a2-4a79-be837593018b,1
998ba4cd-308f-4382-bad1-550f0c7b36e7,fc479f62-4835-4449-bfb1-859574392909,1
1e83d39a-0fb3-4728-856c-f0e85554727d,f7dd7fb4-b5a2-428d-80af-49b85becd6df,1
7bd4e645-ffaa-7467-7b5d-5e4c2e3dd649,9a86106b-5e5b-d9b2-86b6-368c28360a5b,1
13b078f8-a17e-e14e-6094-0919727c9e1a,9a86106b-5e5b-d9b2-86b6-368c28360a5b,1
2b6e4747-e39d-cca0-2b74-7dc142be2d33,9a86106b-5e5b-d9b2-86b6-368c28360a5b,1
01ea1f4b-c871-459e-da65-5afe2b2dc62d,9744a209-f267-4909-89bc-d3a486350079,1
86fdc510-6b1f-46d9-a983-72525b2410f1,fcf60dd3-81fb-bcaf-4454-1b1421fd6496,1
3a8965b0-0914-20ce-856a-bc900939ca52,94191fad-00d8-7be7-bba6-0d29957fd1a9,1
9b4513a5-8e32-45d0-8af9-bd5f1301e35a,e09bf5e3-06be-4dd9-ad1e-5b7e1a821931,1
71d78a03-f5fd-4353-a6a7-3e7cb7c7608c,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
245347d8-8716-4612-b6ce-121af98604df,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
0bafa433-aa90-b7a9-db97-81e51728cf89,289a3dae-5f5f-434a-b36f-828a03e61214,1
73ac0000-4e67-7a49-a5ed-644abef27aff,fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,1
8475d055-7990-01cc-1b80-0dfdc1810795,fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,1
9be48557-c3cc-43ab-99be-77cd386b57c8,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,b41959f6-81f1-7a87-ad54-b8af852e2eab,2
1a60bc60-7101-d3ad-923b-5086a449d4d5,570afeb9-317b-979a-d328-645db95c213d,1
04ab6bc8-14b4-4643-b8ec-c00c4c891111,cbc7f889-61f3-431f-96d6-3fe2bb63fda9,1
bc33d0f2-575f-4966-8179-1fcf5b7c9f3e,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
686821e8-1839-4445-9dee-beaa596de27b,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
5736bb8b-a04b-4037-a60d-229bcda3b2fe,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
8a255857-1a4c-4a1f-b005-b635fdf8abdc,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
0f2ad2b9-3492-4599-a44d-b7a521dc9fe6,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
cff06a98-5cd2-4486-85f0-0ae37d69c9b5,e3e2c8c1-ae55-46a9-93e4-8463f23507a9,1
9bd970f5-a986-4a43-b67f-65ef4ee347a1,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
572a99c6-d3b1-4c1c-9dc6-44cea7ef0f49,82f5867a-45c9-41e4-881e-472e0afe8e3f,1
6f7ba103-42bb-4d83-b5aa-c52520431f52,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
1627e475-efcd-43bb-8147-c2ef9d278812,cff06a98-5cd2-4486-85f0-0ae37d69c9b5,1
2af43d07-95ad-4963-9779-7a6852513977,7de64040-14b2-70c3-775c-221d675b0af4,1
41c45e99-0620-fc7b-ed89-5c82572bf2c9,7de64040-14b2-70c3-775c-221d675b0af4,1
7de64040-14b2-70c3-775c-221d675b0af4,de647392-e15b-a550-05e7-f1f9c34a0c4c,1
52f1d700-4142-4990-9e97-95f670087198,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,1
6e3a7626-4cab-aae6-5a59-75fc2cef40af,82f5867a-45c9-41e4-881e-472e0afe8e3f,1
4e51b7c6-140e-4781-9b0b-c1a2deadcebc,5f8da149-2e69-4b0d-a1e3-abca45008c28,1
76646a79-df74-47cc-a9ff-9731da94448b,82f5867a-45c9-41e4-881e-472e0afe8e3f,1
