investor_name,investment_count,25m_count,100m_count,250m_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,weighted_success_rate
Christian Vollmann,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Luca Netz,2,0,0,0,2021,6,5,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.1219512195121951,0.0435374149659863,0.0
JBK Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Astanor Ventures,1,1,0,0,2021,4,4,0.1111111111111111,1.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.056235827664399,0.28
Partech,2,0,0,0,2021,6,10,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.1219512195121951,0.1795918367346938,0.0
Stellaris Venture Partners,5,0,0,0,2021,11,13,0.5555555555555556,0.0,0.0,0.0,0.2727272727272727,0.1651567944250871,0.1208163265306122,0.0
Deciens Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Dell Technologies,1,0,0,0,2021,4,3,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.0308390022675736,0.0
Aron Meystedt,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Mark Gillespie,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Oli Farago,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Ken Borkan,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Trybe Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Shopify,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
iMinds,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Thaddeus Young,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Zeyshare Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
