pair,Unnamed: 0,investment_count,25m_count,100m_count,250m_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity
"3d6aa46f-7c0d-4fb8-948d-ded22114c886,29715599-a745-4199-abb6-bbd2e8387894","3d6aa46f-7c0d-4fb8-948d-ded22114c886,29715599-a745-4199-abb6-bbd2e8387894",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0776666666666666,0.0805442176870747,0.1045296167247386
"c24af4d0-af50-424b-a596-be29d103c2cc,8426c4a7-1fff-c3d8-9af4-e673a788212d","c24af4d0-af50-424b-a596-be29d103c2cc,8426c4a7-1fff-c3d8-9af4-e673a788212d",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.154090909090909,0.166852195423624,0.1469749762432688
"902deab4-ec41-68ce-d9df-c0c959578176,054264cb-fb84-4ba3-b43c-f1916228538e","902deab4-ec41-68ce-d9df-c0c959578176,054264cb-fb84-4ba3-b43c-f1916228538e",1,1,1,0,1.0,1.0,0.0,0.5800000000000001,0.2727272727272727,0.33625,0.1908843537414965,0.1808362369337978
"dfebdac4-88ba-46bf-8a56-bbd92d0b6913,3843215a-d217-414d-94c9-53d9f65782dd","dfebdac4-88ba-46bf-8a56-bbd92d0b6913,3843215a-d217-414d-94c9-53d9f65782dd",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.21,0.0371882086167799,0.0958188153310104
"5538517d-2296-4374-b64a-8184c5afedc7,525f5579-1f87-cf70-ff5a-9de397f6fa5d","5538517d-2296-4374-b64a-8184c5afedc7,525f5579-1f87-cf70-ff5a-9de397f6fa5d",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.1875,0.3198790627362056,0.2241579558652729
"b2604fa2-02b6-3510-753d-b7b38a4bb062,400646cf-4de6-4720-9593-077a0ec02973","b2604fa2-02b6-3510-753d-b7b38a4bb062,400646cf-4de6-4720-9593-077a0ec02973",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.28,0.0308390022675736,0.1080139372822299
"fe18949b-01c1-ac2c-e807-a874113ec371,8426c4a7-1fff-c3d8-9af4-e673a788212d","fe18949b-01c1-ac2c-e807-a874113ec371,8426c4a7-1fff-c3d8-9af4-e673a788212d",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.081590909090909,0.1811379097093383,0.1578634779854292
"ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,9c172419-ad7c-d25a-a99e-baaad512dcfb","ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,9c172419-ad7c-d25a-a99e-baaad512dcfb",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.2056862745098039,0.2842025699168556,0.18760675001708
"552ab1c2-dd52-4b39-b91f-3ad64109c973,343a0c91-d3b9-80fa-2330-cfde495decf1","552ab1c2-dd52-4b39-b91f-3ad64109c973,343a0c91-d3b9-80fa-2330-cfde495decf1",1,1,1,0,1.0,1.0,0.0,0.5800000000000001,0.2727272727272727,0.3975,0.0639455782312924,0.2273519163763065
"9a1274ba-f2f3-4808-90fe-51eeb42870d4,773feb59-9c42-4df4-8661-093a18a81aa2","9a1274ba-f2f3-4808-90fe-51eeb42870d4,773feb59-9c42-4df4-8661-093a18a81aa2",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.1866666666666666,0.0272108843537414,0.0522648083623693
