founded_year,org_uuid,name_x,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_names,investor_uuids,name_y
2022,2622c6d3-684b-4a49-9fc8-cd394c5403bc,Daimon Labs,,,,0,0,0,Zero Prime Ventures,1cc65a00-0f73-4eab-9b4e-76785a54a284,Daimon Labs
2022,1c7901e5-afb8-4713-8efb-8d6df0bbcc78,Fastbreak.ai,,,5200000.0,0,0,0,"Alison Lee, Charlotte Fund, Firsthand.vc, GTMfund, Gordon Hayward, Gregory Walter Olsen, Greycroft, Kelvin Beachum Jr., Kurt Shun Kitayama, Larry Fitzgerald, Luke Kuechly, NBA Equity, Whitley David Merrifield","5644cf46-ff77-46c6-bbd9-ecdf361ea93f, 442ab39a-54f2-48f8-b9f1-c25511c6ac61, c1b551d4-0342-4bf1-b4bc-0b49834331d8, ae001fa5-675a-4b36-a395-8c92385afb8c, 913b0275-dd1c-426c-b2b3-af602fdc20be, cb500d81-631d-4d14-82b5-c80361b426c8, 9dd7066b-069a-9dd9-c211-06db31253bd0, 76638271-f6de-426f-a616-206496f67475, dab26878-0609-4792-85bb-c6474a73e80a, 4a2ac219-bb63-472e-9e42-9b9890f0598b, a87e8478-a6c2-451a-ba54-f03763107a11, edab334b-31f0-4192-a15a-3448e5a36bd1, 1cf4b46b-2095-4b5f-b950-a21af235b153",Fastbreak.ai
2022,c8d01177-5759-4f88-8ede-273865bbc690,Phi,,,2000000.0,0,0,0,"Anthony Sassano, Chapter One Ventures, Chris Dixon, Cyber, David Hoffman, Decima Fund, Delphi Ventures, GBV Capital, Incubate Fund, Marc Andreessen, Mask Network, Neoclassic Capital, Next Web Capital, PAKA Capital, Polygon Ventures, Ryan Sean Adams, Stani Kulechov","39e7db18-b04d-410e-88cc-ac7aed7d1634, 7dc0cc67-f476-0aaf-00aa-2e993626a6cd, d2f0fb7c-eb4c-2f47-3d13-497a07856796, 35b85a8f-da6f-440b-8519-740a42ccb141, 54f7a28b-0595-4860-94ca-769c23970a72, 28bc69ec-677a-481d-b285-e05094a84bf1, 4b35870a-c9d3-411c-b32d-26771df93169, 36287ddc-b3fa-4bbf-8e3f-1caf0ce99d8d, 288523db-6983-c380-6431-c63412686e3b, 3ba9203f-c79b-3166-2183-c1d690f00bcb, be05883e-a4f6-4c14-8692-55714e7d293e, 447f425a-9e38-433b-ae3f-c2eea2cd7c77, c5a7d9d9-8bb4-44ad-a97a-382f37b191a9, f5e47236-691e-48b3-abac-f7de69c344d8, d52ac3c6-6a65-489c-a31c-e2c998b1591a, 73759b39-bfbb-4e5d-8ac1-e09b690eaa2c, 4c8bd581-aaf4-605e-b5ba-63ef2bb62cd8",Phi
2022,5084fa57-8afb-41c2-8f50-cd1761ea5930,Jackson McCrea Whiskey,,,,0,0,0,Distill Ventures,89f8ed34-bf55-6a61-191f-e984aa0acc60,Jackson McCrea Whiskey
2022,77751b3b-e74c-4a7f-ac5d-d041b4ab686e,Dispersion Capital,,,,0,0,0,Circle Ventures,d73cb521-e107-4b8a-826d-acfad65c5201,Dispersion Capital
2022,4ea626df-561a-4b55-855e-6b46ff5817c7,Members.Land,,,,0,0,0,"UpHonest Capital, Y Combinator","40e3b902-7127-3d71-b67b-ec4a2207afe3, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e",Members.Land
2022,fe39c4e4-8458-4618-a2d8-38de493250f8,Builders&Doers,,,50000.0,0,0,0,Acceleration Driven,f563e1cd-92fa-42d6-9c02-0e075d5871be,Builders&Doers
2022,9dcdfba4-b149-4b5a-ba0b-1d1d36be0923,Bongo Software,,,228000.0,0,0,0,Startup School,036986cf-6349-65f9-b591-dc4f04db3b97,Bongo Software
2022,2f2dad18-70c1-4a5b-bc31-f1320528d44d,Bayou Energy,,,1200000.0,0,0,0,"CoFound Partners, Leap Forward Ventures, Stepchange Ventures, Surface Ventures, Very Serious Ventures","13cd03ce-75f6-4430-99fc-a95486ede80f, 25174827-3da4-46af-869e-add40ce23075, 4742486f-36ee-4277-8e17-c320ab99c977, de3194bb-0d95-4c29-9829-394ecd388369, 585b381b-7fde-486f-be98-ef67f513ca45",Bayou Energy
2022,c5aac12c-c595-41e3-9237-c980c5e1f995,Cosmology,,,5000000.0,0,0,0,"Chorus One, Cogitent Ventures, Dispersion Capital, Ethan Beard, Forbole Ventures, Galileo, HFO, HashKey Capital, Informal Systems, Kevin Lin, Leland Lee, Lemniscap, Osmosis Foundation, Reverie, Tuesday Capital, Virtual Bug, Zaki Manian","982cfc77-67e0-42b0-a568-a673cd510855, 2118d3fa-01f3-4cb5-91cb-a297eafcabdf, 77751b3b-e74c-4a7f-ac5d-d041b4ab686e, 54bfb44f-ec71-bc44-1e8a-bb1f5ab90ed7, a386228f-98cd-44a0-817d-b7acd8bfb0cd, 32b5ab21-3723-4054-95e3-8c79fcb206f7, 808b7bc8-d8ea-46d7-b851-2d850368a7c0, 6d06c9c2-d26e-4dd9-bc16-a93b00f59c60, f3ca6a53-eb34-4d36-a5d4-6a6b550df648, 5ab0b475-7d0b-0dba-f640-4e6ddae15101, 1f790f33-97be-4794-9bd7-c59bfcb1ed94, e7b294da-48ef-4c99-8aa1-5de72fcf77d6, 07cc76b1-18dd-48e8-9c36-eaeb79d590e6, e1d736eb-1bc3-457f-bc3b-72f9269141ce, d53f379c-7f9c-4b4e-af5b-f09b2d64f88e, ecb26b84-e071-438d-9728-4567afe0a914, 56931f23-51b2-b94c-9816-4a56d8c4d766",Cosmology
2022,7baf2291-2d18-44b3-bbd6-413698093e02,Higgsfield,,,8000000.0,0,0,0,"AAL VC, Abhay Parasnis, Alpha Intelligence Capital, Amar Hanspal, BITKRAFT Ventures, Charge Ventures, DVC, Flyer One Ventures, Henry Shi, Ilya Gelfenbeyn, Ilya Sedoshkin, Jack Brody, K5 Global, Menlo Ventures, Nima Khajehnouri, Zero Prime Ventures","36cf505f-47c5-4393-b6d8-84b0f53a997a, 0ee538e1-e0e4-a3c2-2d01-b76423a7e674, 3da4dab0-5f65-49d6-ae39-ec3eac00c38b, ea8c9509-b6ac-1eb7-3df7-b674de2f861a, c7ca7ab1-a82f-9736-8140-c53ba04b034c, 112d0d7a-27c1-94f7-68ca-2ec798a959e5, 5aac97cf-82e1-4e9c-bc64-1a3569e692c4, aced11a8-ab2d-45a2-9bf9-58348e85aaa3, 0ae71fae-869e-1e65-f859-f65239e70de5, 702bfe64-6b83-4e90-0cfa-1118ad099905, e29a2e64-1969-47a5-898a-40d137faa5e9, d2fc5d96-7cb0-4cda-a4fe-cabdef6241ba, a8478414-38c1-4084-a2a3-4074f6feae95, a34c63f0-c277-3e4b-bbfc-1868ca81596d, 5f524c4c-4997-7f36-01df-838b63790fbe, 1cc65a00-0f73-4eab-9b4e-76785a54a284",Higgsfield
2022,c61cfd85-2327-4c49-ba22-6e634ef3e58d,Axel,,,,0,0,0,Circle Ventures,d73cb521-e107-4b8a-826d-acfad65c5201,Axel
2022,ea80215c-6acc-4242-84bf-b9a20c35bc33,Maayon Inc.,,,,0,0,0,Unshackled Ventures,70c82573-5401-4fa9-d2f0-53652c7a2d74,Maayon Inc.
2022,bae9f792-7076-4750-bdfa-653f9dbc4836,Beaker DAO,,,,0,0,0,NxGen.xyz,dd2f5008-f9ad-4965-ba08-4301f993a30a,Beaker DAO
2022,36e10594-5e18-48b0-8b8e-e8f22360e0ab,Darkbright Studios,,,6000000.0,0,0,0,"Anthos Capital, BITKRAFT Ventures, Caballeros Capital, Gam3Girl Ventures, King River Capital, Offchain Labs, Play Ventures, RockawayX, Zentry","4e9cd3ef-0ef1-73e3-737e-68ad15705779, c7ca7ab1-a82f-9736-8140-c53ba04b034c, b2343318-76d9-4b26-9026-eef1193b2689, 641ce37a-702c-4b5f-8e44-e2db7f44f94d, f1f04a2e-9637-f516-e28f-37b05ad1b903, 94cad6aa-59a6-4c28-b9af-fef02829c677, 2c49697d-e62c-4399-8964-49580f2065a9, 571c25cf-5cfe-4a87-8f6d-e4f304845434, 7a7bd4a0-b54a-4581-8d69-5043899d0eb1",Darkbright Studios
2022,5bed1e6a-cf97-49b9-800f-0872677eb20e,Astria,,,18000000.0,0,0,0,"1kx, Delphi Ventures, Figment Capital, Maven 11 Capital","1bea9fcb-cea8-4c0b-8c56-51ce678e7afc, bdd6b7d4-9846-d4e2-29d7-7e5acf17c034, e09bf5e3-06be-4dd9-ad1e-5b7e1a821931, 68e181a5-29e7-4351-b306-3f4de252b434",Astria
2022,72981902-b602-418c-923c-5dacd1b4550a,Dymium,,,7000000.0,0,0,0,Two Bear Capital,95a01eeb-1971-480d-8d86-fa7cbf2de4aa,Dymium
