investor_uuid,investor_name,investment_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,proportional_broad_diversity,proportional_specific_diversity,weighted_success_rate,diversity_bucket,success_bucket
ff767495-7cde-41ab-88d7-d4c847a6ff89,US Innovative Technology Fund,2,2021,8,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.21951219512195122,0.11428571428571428,4.0,4.0,0.15625,Focused,L5
ffdfc425-c8da-8a83-32d5-e64d18166bd1,Shlomo Kramer,2,2021,7,7,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.08707482993197278,3.5,3.5,0.15625,Focused,L5
eb47c77c-d53c-73bb-724c-e6b80c3b13c1,Eight Roads Ventures,2,2021,6,7,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.12195121951219512,0.08707482993197278,3.0,3.5,0.15625,Balanced,L5
dcf0cb2a-ebd3-4828-8900-39656550c822,Formless Capital,6,2021,15,11,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.2578397212543554,0.07135298563869993,2.5,1.8333333333333333,0.15624999999999997,Specialized,L5
455450d8-d681-473b-93f7-f78c531acd44,Quantstamp,7,2021,13,15,0.7777777777777778,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2727272727272727,0.1647585863613738,0.11480401684483318,1.8571428571428572,2.142857142857143,0.13392857142857142,Focused,L5
a84e3ad4-46f1-4703-3d07-a558c4f6d9e1,Daniel Gross,7,2021,12,15,0.7777777777777778,0.42857142857142855,0.42857142857142855,0.0,0.2727272727272727,0.1398705823792932,0.11480401684483318,1.7142857142857142,2.142857142857143,0.13392857142857142,Balanced,L5
4840d48c-d8d1-07ab-ec79-ebc6151b9bc9,GSR Ventures,7,2021,16,17,0.7777777777777778,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2727272727272727,0.2513688402190144,0.14797538062844184,2.2857142857142856,2.4285714285714284,0.13392857142857142,Specialized,L5
fb748500-cbae-4608-b7a3-eacb233bc846,Outset Capital,8,2021,14,18,0.8888888888888888,0.375,0.125,0.125,0.2727272727272727,0.1672473867595819,0.14512471655328799,1.75,2.25,0.1328125,Focused,L5
85960076-7ede-7ff7-6fd3-ff261aff41ab,Thrive Capital,8,2021,18,21,0.8888888888888888,0.375,0.125,0.125,0.2727272727272727,0.2787456445993031,0.1981859410430839,2.25,2.625,0.1328125,Specialized,L5
d0395d31-ba4c-b86a-c27e-b389d5a2c66f,Lip-Bu Tan,6,2021,6,8,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.2727272727272727,0.03832752613240418,0.036885865457294026,1.0,1.3333333333333333,0.125,Universalist,L5
4b35870a-c9d3-411c-b32d-26771df93169,Delphi Ventures,8,2021,12,12,0.8888888888888888,0.25,0.125,0.125,0.2727272727272727,0.12195121951219512,0.06349206349206349,1.5,1.5,0.125,Balanced,L5
ac46ba18-1c1c-44dd-852c-cc51a519c023,Two Culture Capital,3,2021,6,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.2727272727272727,0.08013937282229965,0.09614512471655329,2.0,3.0,0.125,Diverse,L5
