,founded_year,org_uuid,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_uuids
32930,2022,eb97f51e-3887-4ded-8c7e-658b1568128f,"Blockchain,Communications Infrastructure,Real Time,Web3","Blockchain and Cryptocurrency,Hardware,Internet Services,Other",12500000.0,0,0,0,"e8487396-f60c-25f1-2bb5-bfcb4e0f4b66, 8342a4b7-f98d-44c6-a117-43c1400568a2, 11c450bf-b9ec-45cb-aa59-8cf06ffdad42, f6f889a7-af59-2363-8984-addadc4da1b2, 2e088b1e-86ae-4869-950c-59f84a97f96b, e8783fde-1a0a-febd-d825-5d6582e42f92, dfe28417-d0a4-423a-9910-1d94b0f9ff01, 66b02e4c-8236-4a1f-baea-ce389ceb6973, bc79489c-86ff-4197-9782-2cabb0502787, c7678b15-8fca-4852-bc6d-1dfa7ee1467c, d03c83f5-adf0-4a06-a33a-4748e984dc72"
32604,2022,69cec897-924b-4bb5-9168-f7c4f31410b6,"Cloud Security,Developer Tools","Information Technology,Privacy and Security,Software",500000.0,0,0,0,73633ee4-ea65-2967-6c5d-9b5fec7d2d5e
32267,2022,e32803cb-5030-4be7-b0f9-b53ec0530f77,"Biotechnology,Oncology,Therapeutics","Biotechnology,Health Care,Science and Engineering",,0,0,0,"d5df3873-7871-c608-0284-c74d0b555ccd, adccecd6-d6e9-46de-936f-1765a39a7f05"
32932,2022,3a1994da-dd79-4301-b322-3b66649614a9,"Agriculture,AgTech,Carbon Capture,Farming,Industrial","Agriculture and Farming,Manufacturing,Sustainability",6290000.0,0,0,0,"17766aa6-2da1-c1eb-d14d-2277ae1f34c7, b9f86dd8-5c13-4828-b3e8-8e005cbe25d0, 8b4267ff-dbd0-4610-a640-e254af022808, 0c0c4628-7d08-95e7-824c-3bba161a4b21, e2006571-6b7a-e477-002a-f7014f48a7e3, b23c0dcf-7c68-4578-ac8c-226fa5a0d025, b5d0d7dd-cfc2-4c56-9ed4-847db73f8cee"
32456,2022,c69d78a5-39cd-4b5d-a270-c90e76276313,"Computer Vision,Cryptocurrency,Software,Ticketing","Blockchain and Cryptocurrency,Events,Financial Services,Hardware,Media and Entertainment,Payments,Software",2320000.0,0,0,0,e03b47e0-f25f-1e36-1314-bd65b6d16ee4
32175,2022,6723ef4c-cd97-4e63-a1c9-cbe3c063200c,"Artificial Intelligence (AI),Semiconductor","Artificial Intelligence (AI),Data and Analytics,Hardware,Science and Engineering,Software",167669.0,0,0,0,"5e5c0ca3-2669-4323-89dc-8086188a861f, 1ce01368-6625-470e-92a3-3bae211c067f"
32857,2022,47238b27-c4f3-4149-b262-4803dde03db9,"E-Commerce,Fashion","Clothing and Apparel,Commerce and Shopping,Design",11000.0,0,0,0,73a124f4-f54a-4c41-b718-d32984341554
36840,2024,421a35cc-0a5e-4d56-88b7-2742e5965bd1,"Artificial Intelligence (AI),Automotive,E-Commerce,E-Commerce Platforms,Machine Learning,Marketplace,SaaS,Supply Chain Management","Artificial Intelligence (AI),Commerce and Shopping,Data and Analytics,Internet Services,Science and Engineering,Software,Transportation",120000.0,0,0,0,3718597a-dd39-6661-3630-09cdd43bcac2
35016,2023,bfa6f99e-e451-495a-ad78-313c91a48001,"Biotechnology,Health Diagnostics,Therapeutics","Biotechnology,Health Care,Science and Engineering",5200000.0,0,0,0,"51fc8f99-7a62-44af-9eca-8a083e67354a, 34faab15-24bb-4c9b-8f2a-0110a66f0f6e, b74fbad8-a3d5-5e44-c4d0-683c82032f0c, fdf9c669-4ee8-440d-afc2-3d544c6e9bed"
34618,2022,bd8d1cd7-074e-4782-98cb-ec93198551c0,"Artificial Intelligence (AI),Cryptocurrency,Search Engine","Artificial Intelligence (AI),Blockchain and Cryptocurrency,Data and Analytics,Financial Services,Internet Services,Payments,Science and Engineering,Software",3500000.0,0,0,0,"16e245c3-fcbe-d57c-9b01-51e7a73f7a16, b61f9101-6f55-d420-ee15-05e359d364fc, d2d67f55-77b7-485a-8f84-447d14373d29"
